Provinsi,NamaKab/Kota,KodeKab/Kota,Sumber air minum,Jumlah rumah tangga
SUMATERA BARAT,TANAH DATAR,1305,Tidak ada listrik,"1,616"
SUMATERA BARAT,PADANG PARIAMAN,1306,Listrik PLN,"25,277"
SUMATERA BARAT,PADANG PARIAMAN,1306,Listrik non-PLN,431
SUMATERA BARAT,PADANG PARIAMAN,1306,Tidak ada listrik,"2,785"
SUMATERA BARAT,AGAM,1307,Listrik PLN,"18,811"
SUMATERA BARAT,AGAM,1307,Listrik non-PLN,659
SUMATERA BARAT,AGAM,1307,Tidak ada listrik,"1,978"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Listrik PLN,"28,906"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Listrik non-PLN,448
SUMATERA BARAT,LIMA PULUH KOTA,1308,Tidak ada listrik,"2,795"
SUMATERA BARAT,PASAMAN,1309,Listrik PLN,"18,425"
SUMATERA BARAT,PASAMAN,1309,Listrik non-PLN,"2,334"
SUMATERA BARAT,PASAMAN,1309,Tidak ada listrik,"4,728"
SUMATERA BARAT,SOLOK SELATAN,1310,Listrik PLN,"7,366"
SUMATERA BARAT,SOLOK SELATAN,1310,Listrik non-PLN,"1,110"
SUMATERA BARAT,SOLOK SELATAN,1310,Tidak ada listrik,857
SUMATERA BARAT,DHARMASRAYA,1311,Listrik PLN,"6,506"
SUMATERA BARAT,DHARMASRAYA,1311,Listrik non-PLN,180
SUMATERA BARAT,DHARMASRAYA,1311,Tidak ada listrik,359
SUMATERA BARAT,PASAMAN BARAT,1312,Listrik PLN,"35,803"
SUMATERA BARAT,PASAMAN BARAT,1312,Listrik non-PLN,"1,757"
SUMATERA BARAT,PASAMAN BARAT,1312,Tidak ada listrik,"2,471"
SUMATERA BARAT,KOTA PADANG,1371,Listrik PLN,"42,352"
SUMATERA BARAT,KOTA PADANG,1371,Listrik non-PLN,169
SUMATERA BARAT,KOTA PADANG,1371,Tidak ada listrik,584
SUMATERA BARAT,KOTA SOLOK,1372,Listrik PLN,"2,382"
SUMATERA BARAT,KOTA SOLOK,1372,Listrik non-PLN,1
SUMATERA BARAT,KOTA SOLOK,1372,Tidak ada listrik,71
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Listrik PLN,"1,370"
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Listrik non-PLN,13
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Tidak ada listrik,201
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Listrik PLN,"2,048"
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Listrik non-PLN,0
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Tidak ada listrik,45
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Listrik PLN,"3,834"
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Listrik non-PLN,5
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Tidak ada listrik,42
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Listrik PLN,"6,261"
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Listrik non-PLN,25
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Tidak ada listrik,146
SUMATERA BARAT,KOTA PARIAMAN,1377,Listrik PLN,"4,416"
SUMATERA BARAT,KOTA PARIAMAN,1377,Listrik non-PLN,2
SUMATERA BARAT,KOTA PARIAMAN,1377,Tidak ada listrik,96
SUMATERA BARAT,TOTAL,"290,789",Listrik PLN,"11,945"
SUMATERA BARAT,TOTAL,"290,789",Listrik non-PLN,"33,406"
RIAU,KUANTAN SINGINGI,1401,Listrik PLN,"17,689"
RIAU,KUANTAN SINGINGI,1401,Listrik non-PLN,522
RIAU,KUANTAN SINGINGI,1401,Tidak ada listrik,"1,459"
RIAU,INDRAGIRI HULU,1402,Listrik PLN,"23,654"
RIAU,INDRAGIRI HULU,1402,Listrik non-PLN,"3,725"
RIAU,INDRAGIRI HULU,1402,Tidak ada listrik,"6,485"
RIAU,INDRAGIRI HILIR,1403,Listrik PLN,"15,078"
RIAU,INDRAGIRI HILIR,1403,Listrik non-PLN,"9,351"
RIAU,INDRAGIRI HILIR,1403,Tidak ada listrik,"15,905"
RIAU,PELALAWAN,1404,Listrik PLN,"9,825"
RIAU,PELALAWAN,1404,Listrik non-PLN,"5,711"
RIAU,PELALAWAN,1404,Tidak ada listrik,"4,611"
RIAU,S I A K,1405,Listrik PLN,"14,180"
RIAU,S I A K,1405,Listrik non-PLN,"5,483"
RIAU,S I A K,1405,Tidak ada listrik,"2,387"
RIAU,KAMPAR,1406,Listrik PLN,"50,362"
RIAU,KAMPAR,1406,Listrik non-PLN,"4,552"
RIAU,KAMPAR,1406,Tidak ada listrik,"2,557"
RIAU,ROKAN HULU,1407,Listrik PLN,"18,705"
RIAU,ROKAN HULU,1407,Listrik non-PLN,"7,047"
RIAU,ROKAN HULU,1407,Tidak ada listrik,"3,764"
RIAU,BENGKALIS,1408,Listrik PLN,"22,221"
RIAU,BENGKALIS,1408,Listrik non-PLN,"3,718"
RIAU,BENGKALIS,1408,Tidak ada listrik,"3,104"
RIAU,ROKAN HILIR,1409,Listrik PLN,"38,606"
RIAU,ROKAN HILIR,1409,Listrik non-PLN,"6,641"
RIAU,ROKAN HILIR,1409,Tidak ada listrik,"5,249"
RIAU,KEPULAUAN MERANTI,1410,Listrik PLN,"12,805"
RIAU,KEPULAUAN MERANTI,1410,Listrik non-PLN,"6,504"
RIAU,KEPULAUAN MERANTI,1410,Tidak ada listrik,"4,311"
RIAU,KOTA PEKANBARU,1471,Listrik PLN,"26,473"
RIAU,KOTA PEKANBARU,1471,Listrik non-PLN,208
RIAU,KOTA PEKANBARU,1471,Tidak ada listrik,307
RIAU,KOTA DUMAI,1473,Listrik PLN,"14,629"
RIAU,KOTA DUMAI,1473,Listrik non-PLN,768
RIAU,KOTA DUMAI,1473,Tidak ada listrik,485
RIAU,TOTAL,"264,227",Listrik PLN,"54,230"
RIAU,TOTAL,"264,227",Listrik non-PLN,"50,624"
JAMBI,KERINCI,1501,Listrik PLN,"26,272"
JAMBI,KERINCI,1501,Listrik non-PLN,492
JAMBI,KERINCI,1501,Tidak ada listrik,"1,695"
JAMBI,MERANGIN,1502,Listrik PLN,"15,672"
JAMBI,MERANGIN,1502,Listrik non-PLN,"4,924"
JAMBI,MERANGIN,1502,Tidak ada listrik,"2,545"
JAMBI,SAROLANGUN,1503,Listrik PLN,"18,061"
JAMBI,SAROLANGUN,1503,Listrik non-PLN,"1,843"
JAMBI,SAROLANGUN,1503,Tidak ada listrik,"2,769"
JAMBI,BATANG HARI,1504,Listrik PLN,"18,138"
JAMBI,BATANG HARI,1504,Listrik non-PLN,536
JAMBI,BATANG HARI,1504,Tidak ada listrik,"2,361"
JAMBI,MUARO JAMBI,1505,Listrik PLN,"15,150"
JAMBI,MUARO JAMBI,1505,Listrik non-PLN,754
JAMBI,MUARO JAMBI,1505,Tidak ada listrik,"1,633"
JAMBI,TANJUNG JABUNG TIMUR,1506,Listrik PLN,"11,428"
JAMBI,TANJUNG JABUNG TIMUR,1506,Listrik non-PLN,"2,404"
JAMBI,TANJUNG JABUNG TIMUR,1506,Tidak ada listrik,"3,087"
JAMBI,TANJUNG JABUNG BARAT,1507,Listrik PLN,"13,283"
JAMBI,TANJUNG JABUNG BARAT,1507,Listrik non-PLN,"5,393"
JAMBI,TANJUNG JABUNG BARAT,1507,Tidak ada listrik,"6,161"
JAMBI,TEBO,1508,Listrik PLN,"17,175"
JAMBI,TEBO,1508,Listrik non-PLN,777
JAMBI,TEBO,1508,Tidak ada listrik,"2,779"
