Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,Jumlah IndividuUsia di bawah 6 tahun,Jumlah IndividuUsia 6 - 14 tahun,Jumlah IndividuUsia 15 - 44 tahun,Jumlah IndividuUsia 45 - 59 tahun,Jumlah IndividuUsia 60 tahun ke atas
SUMATERA SELATAN,OGAN KOMERING ULU,1601,P,"3,567","8,401","21,004","7,368","4,327"
SUMATERA SELATAN,OGAN KOMERING ULU,1601,L,"3,871","9,017","23,684","7,146","3,839"
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,P,"11,271","25,426","61,611","20,633","11,851"
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,L,"11,826","27,248","67,250","20,762","10,811"
SUMATERA SELATAN,MUARA ENIM,1603,P,"9,097","21,475","48,223","15,582","9,716"
SUMATERA SELATAN,MUARA ENIM,1603,L,"9,536","23,018","53,845","15,519","7,715"
SUMATERA SELATAN,LAHAT,1604,P,"5,868","13,893","31,732","10,284","6,938"
SUMATERA SELATAN,LAHAT,1604,L,"6,286","14,777","36,514","10,949","5,676"
SUMATERA SELATAN,MUSI RAWAS,1605,P,"5,752","13,526","34,896","11,280","6,981"
SUMATERA SELATAN,MUSI RAWAS,1605,L,"6,137","14,514","37,958","11,343","6,720"
SUMATERA SELATAN,MUSI BANYUASIN,1606,P,"7,727","18,095","46,999","14,279","9,054"
SUMATERA SELATAN,MUSI BANYUASIN,1606,L,"8,236","19,798","50,767","13,917","8,377"
SUMATERA SELATAN,BANYU ASIN,1607,P,"12,500","30,183","75,104","23,497","14,029"
SUMATERA SELATAN,BANYU ASIN,1607,L,"13,568","32,830","82,237","24,103","13,621"
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,P,"5,877","14,497","36,365","11,682","5,169"
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,L,"6,194","15,895","40,322","12,901","5,773"
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,P,"6,491","13,541","32,514","8,365","4,697"
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,L,"6,539","13,747","33,137","9,127","4,382"
SUMATERA SELATAN,OGAN ILIR,1610,P,"7,110","16,287","38,048","15,076","9,375"
SUMATERA SELATAN,OGAN ILIR,1610,L,"7,623","17,426","42,558","14,206","7,428"
SUMATERA SELATAN,EMPAT LAWANG,1611,P,"2,873","7,794","17,753","7,124","4,618"
SUMATERA SELATAN,EMPAT LAWANG,1611,L,"3,132","8,354","21,291","6,812","3,645"
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,P,"3,107","7,601","16,026","4,808","2,761"
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,L,"3,423","8,358","17,210","4,545","2,220"
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,P,"2,349","6,005","15,027","5,479","2,828"
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,L,"2,429","6,701","15,814","4,976","2,267"
SUMATERA SELATAN,KOTA PALEMBANG,1671,P,"13,458","36,605","86,313","31,508","16,665"
SUMATERA SELATAN,KOTA PALEMBANG,1671,L,"14,831","39,090","94,263","30,839","14,393"
SUMATERA SELATAN,KOTA PRABUMULIH,1672,P,"2,031","4,243","9,426","2,941","1,892"
SUMATERA SELATAN,KOTA PRABUMULIH,1672,L,"2,246","4,528","10,260","2,798","1,464"
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,P,"1,232","3,275","7,699","2,750","1,964"
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,L,"1,245","3,496","9,454","2,922","1,585"
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,P,"1,705","4,675","11,401","3,702","1,809"
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,L,"1,849","4,991","12,571","3,651","1,573"
BENGKULU,BENGKULU SELATAN,1701,P,"2,140","4,419","9,420","3,804","3,125"
BENGKULU,BENGKULU SELATAN,1701,L,"2,312","4,661","10,930","3,805","2,593"
BENGKULU,REJANG LEBONG,1702,P,"3,805","8,032","22,152","7,001","4,539"
BENGKULU,REJANG LEBONG,1702,L,"4,028","8,819","24,282","6,849","3,743"
BENGKULU,BENGKULU UTARA,1703,P,"4,832","8,375","19,694","5,107","3,225"
BENGKULU,BENGKULU UTARA,1703,L,"5,047","9,047","20,951","5,668","3,128"
BENGKULU,KAUR,1704,P,"2,419","4,774","10,860","3,775","2,167"
BENGKULU,KAUR,1704,L,"2,655","5,020","12,273","4,094","2,140"
BENGKULU,SELUMA,1705,P,"3,869","6,627","16,305","4,936","3,461"
BENGKULU,SELUMA,1705,L,"3,999","7,547","18,590","5,045","2,992"
BENGKULU,MUKOMUKO,1706,P,"2,933","4,917","11,718","3,301","2,226"
BENGKULU,MUKOMUKO,1706,L,"3,054","5,464","12,809","3,336","1,991"
BENGKULU,LEBONG,1707,P,"1,471","3,478","8,138","2,769","1,877"
BENGKULU,LEBONG,1707,L,"1,646","3,774","9,078","2,899","1,481"
BENGKULU,KEPAHIANG,1708,P,"1,776","3,530","8,893","2,778","1,915"
BENGKULU,KEPAHIANG,1708,L,"1,876","3,777","10,030","2,861","1,519"
BENGKULU,BENGKULU TENGAH,1709,P,"1,974","4,096","10,492","2,909","1,995"
