Provinsi,NamaKab/Kota,KodeKab/Kota,Sumber air minum,Jumlah rumah tangga
SUMATERA BARAT,SOLOK SELATAN,1310,Sumber Terlindung,"2,290"
SUMATERA BARAT,SOLOK SELATAN,1310,Sumber Tidak Terlindung,"5,092"
SUMATERA BARAT,DHARMASRAYA,1311,Air Kemasan,559
SUMATERA BARAT,DHARMASRAYA,1311,Air Ledeng,247
SUMATERA BARAT,DHARMASRAYA,1311,Sumber Terlindung,"2,239"
SUMATERA BARAT,DHARMASRAYA,1311,Sumber Tidak Terlindung,"4,000"
SUMATERA BARAT,PASAMAN BARAT,1312,Air Kemasan,"5,488"
SUMATERA BARAT,PASAMAN BARAT,1312,Air Ledeng,"1,824"
SUMATERA BARAT,PASAMAN BARAT,1312,Sumber Terlindung,"13,139"
SUMATERA BARAT,PASAMAN BARAT,1312,Sumber Tidak Terlindung,"19,580"
SUMATERA BARAT,KOTA PADANG,1371,Air Kemasan,"11,318"
SUMATERA BARAT,KOTA PADANG,1371,Air Ledeng,"7,242"
SUMATERA BARAT,KOTA PADANG,1371,Sumber Terlindung,"19,476"
SUMATERA BARAT,KOTA PADANG,1371,Sumber Tidak Terlindung,"5,069"
SUMATERA BARAT,KOTA SOLOK,1372,Air Kemasan,962
SUMATERA BARAT,KOTA SOLOK,1372,Air Ledeng,"1,120"
SUMATERA BARAT,KOTA SOLOK,1372,Sumber Terlindung,165
SUMATERA BARAT,KOTA SOLOK,1372,Sumber Tidak Terlindung,207
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Air Kemasan,185
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Air Ledeng,191
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Sumber Terlindung,989
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Sumber Tidak Terlindung,219
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Air Kemasan,520
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Air Ledeng,603
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Sumber Terlindung,771
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Sumber Tidak Terlindung,199
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Air Kemasan,"1,853"
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Air Ledeng,702
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Sumber Terlindung,"1,033"
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Sumber Tidak Terlindung,293
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Air Kemasan,"2,161"
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Air Ledeng,"2,581"
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Sumber Terlindung,"1,250"
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Sumber Tidak Terlindung,440
SUMATERA BARAT,KOTA PARIAMAN,1377,Air Kemasan,"1,066"
SUMATERA BARAT,KOTA PARIAMAN,1377,Air Ledeng,166
SUMATERA BARAT,KOTA PARIAMAN,1377,Sumber Terlindung,"2,755"
SUMATERA BARAT,KOTA PARIAMAN,1377,Sumber Tidak Terlindung,527
SUMATERA BARAT,TOTAL,"40,078",Air Kemasan,"30,418"
SUMATERA BARAT,TOTAL,"40,078",Air Ledeng,"132,196"
SUMATERA BARAT,TOTAL,"40,078",Sumber Terlindung,"133,447"
RIAU,KUANTAN SINGINGI,1401,Air Kemasan,"2,962"
RIAU,KUANTAN SINGINGI,1401,Air Ledeng,150
RIAU,KUANTAN SINGINGI,1401,Sumber Terlindung,"9,816"
RIAU,KUANTAN SINGINGI,1401,Sumber Tidak Terlindung,"6,742"
RIAU,INDRAGIRI HULU,1402,Air Kemasan,"7,447"
RIAU,INDRAGIRI HULU,1402,Air Ledeng,"1,072"
RIAU,INDRAGIRI HULU,1402,Sumber Terlindung,"10,754"
RIAU,INDRAGIRI HULU,1402,Sumber Tidak Terlindung,"14,591"
RIAU,INDRAGIRI HILIR,1403,Air Kemasan,406
RIAU,INDRAGIRI HILIR,1403,Air Ledeng,33
RIAU,INDRAGIRI HILIR,1403,Sumber Terlindung,672
RIAU,INDRAGIRI HILIR,1403,Sumber Tidak Terlindung,"39,223"
RIAU,PELALAWAN,1404,Air Kemasan,"5,559"
RIAU,PELALAWAN,1404,Air Ledeng,90
RIAU,PELALAWAN,1404,Sumber Terlindung,"5,519"
RIAU,PELALAWAN,1404,Sumber Tidak Terlindung,"8,979"
RIAU,S I A K,1405,Air Kemasan,"7,679"
RIAU,S I A K,1405,Air Ledeng,193
RIAU,S I A K,1405,Sumber Terlindung,"5,831"
RIAU,S I A K,1405,Sumber Tidak Terlindung,"8,347"
RIAU,KAMPAR,1406,Air Kemasan,"10,304"
RIAU,KAMPAR,1406,Air Ledeng,"1,408"
RIAU,KAMPAR,1406,Sumber Terlindung,"34,006"
RIAU,KAMPAR,1406,Sumber Tidak Terlindung,"11,752"
RIAU,ROKAN HULU,1407,Air Kemasan,"4,650"
RIAU,ROKAN HULU,1407,Air Ledeng,328
RIAU,ROKAN HULU,1407,Sumber Terlindung,"15,329"
RIAU,ROKAN HULU,1407,Sumber Tidak Terlindung,"9,209"
RIAU,BENGKALIS,1408,Air Kemasan,"4,055"
RIAU,BENGKALIS,1408,Air Ledeng,197
RIAU,BENGKALIS,1408,Sumber Terlindung,"4,062"
RIAU,BENGKALIS,1408,Sumber Tidak Terlindung,"20,729"
RIAU,ROKAN HILIR,1409,Air Kemasan,"6,030"
RIAU,ROKAN HILIR,1409,Air Ledeng,369
RIAU,ROKAN HILIR,1409,Sumber Terlindung,"9,692"
RIAU,ROKAN HILIR,1409,Sumber Tidak Terlindung,"34,404"
RIAU,KEPULAUAN MERANTI,1410,Air Kemasan,353
RIAU,KEPULAUAN MERANTI,1410,Air Ledeng,25
RIAU,KEPULAUAN MERANTI,1410,Sumber Terlindung,889
RIAU,KEPULAUAN MERANTI,1410,Sumber Tidak Terlindung,"22,353"
RIAU,KOTA PEKANBARU,1471,Air Kemasan,"14,751"
RIAU,KOTA PEKANBARU,1471,Air Ledeng,120
RIAU,KOTA PEKANBARU,1471,Sumber Terlindung,"10,655"
RIAU,KOTA PEKANBARU,1471,Sumber Tidak Terlindung,"1,462"
RIAU,KOTA DUMAI,1473,Air Kemasan,"8,981"
RIAU,KOTA DUMAI,1473,Air Ledeng,972
RIAU,KOTA DUMAI,1473,Sumber Terlindung,"3,232"
RIAU,KOTA DUMAI,1473,Sumber Tidak Terlindung,"2,697"
RIAU,TOTAL,"73,177",Air Kemasan,"4,957"
RIAU,TOTAL,"73,177",Air Ledeng,"110,457"
RIAU,TOTAL,"73,177",Sumber Terlindung,"180,488"
JAMBI,KERINCI,1501,Air Kemasan,"1,752"
JAMBI,KERINCI,1501,Air Ledeng,"8,433"
JAMBI,KERINCI,1501,Sumber Terlindung,"8,394"
JAMBI,KERINCI,1501,Sumber Tidak Terlindung,"9,880"
JAMBI,MERANGIN,1502,Air Kemasan,880
JAMBI,MERANGIN,1502,Air Ledeng,259
JAMBI,MERANGIN,1502,Sumber Terlindung,"5,359"
JAMBI,MERANGIN,1502,Sumber Tidak Terlindung,"16,643"
JAMBI,SAROLANGUN,1503,Air Kemasan,661
JAMBI,SAROLANGUN,1503,Air Ledeng,658
JAMBI,SAROLANGUN,1503,Sumber Terlindung,"7,677"
JAMBI,SAROLANGUN,1503,Sumber Tidak Terlindung,"13,677"
JAMBI,BATANG HARI,1504,Air Kemasan,"1,137"
JAMBI,BATANG HARI,1504,Air Ledeng,"1,040"
JAMBI,BATANG HARI,1504,Sumber Terlindung,"7,846"
JAMBI,BATANG HARI,1504,Sumber Tidak Terlindung,"11,012"
