Provinsi,NamaKab/Kota,KodeKab/Kota,Bahan bakar memasak,Jumlah rumah tangga
SUMATERA BARAT,PASAMAN,1309,Briket/Arang/Kayu,"24,191"
SUMATERA BARAT,PASAMAN,1309,Tidak memasak di rumah,57
SUMATERA BARAT,SOLOK SELATAN,1310,Listrik/Gas,876
SUMATERA BARAT,SOLOK SELATAN,1310,Minyak tanah,101
SUMATERA BARAT,SOLOK SELATAN,1310,Briket/Arang/Kayu,"8,338"
SUMATERA BARAT,SOLOK SELATAN,1310,Tidak memasak di rumah,18
SUMATERA BARAT,DHARMASRAYA,1311,Listrik/Gas,"2,027"
SUMATERA BARAT,DHARMASRAYA,1311,Minyak tanah,141
SUMATERA BARAT,DHARMASRAYA,1311,Briket/Arang/Kayu,"4,824"
SUMATERA BARAT,DHARMASRAYA,1311,Tidak memasak di rumah,53
SUMATERA BARAT,PASAMAN BARAT,1312,Listrik/Gas,"6,450"
SUMATERA BARAT,PASAMAN BARAT,1312,Minyak tanah,"1,067"
SUMATERA BARAT,PASAMAN BARAT,1312,Briket/Arang/Kayu,"32,282"
SUMATERA BARAT,PASAMAN BARAT,1312,Tidak memasak di rumah,232
SUMATERA BARAT,KOTA PADANG,1371,Listrik/Gas,"24,062"
SUMATERA BARAT,KOTA PADANG,1371,Minyak tanah,"7,276"
SUMATERA BARAT,KOTA PADANG,1371,Briket/Arang/Kayu,"11,328"
SUMATERA BARAT,KOTA PADANG,1371,Tidak memasak di rumah,439
SUMATERA BARAT,KOTA SOLOK,1372,Listrik/Gas,995
SUMATERA BARAT,KOTA SOLOK,1372,Minyak tanah,376
SUMATERA BARAT,KOTA SOLOK,1372,Briket/Arang/Kayu,"1,065"
SUMATERA BARAT,KOTA SOLOK,1372,Tidak memasak di rumah,18
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Listrik/Gas,309
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Minyak tanah,107
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Briket/Arang/Kayu,"1,147"
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,Tidak memasak di rumah,21
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Listrik/Gas,"1,248"
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Minyak tanah,307
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Briket/Arang/Kayu,497
SUMATERA BARAT,KOTA PADANG PANJANG,1374,Tidak memasak di rumah,41
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Listrik/Gas,"2,515"
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Minyak tanah,753
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Briket/Arang/Kayu,574
SUMATERA BARAT,KOTA BUKITTINGGI,1375,Tidak memasak di rumah,39
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Listrik/Gas,"3,406"
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Minyak tanah,778
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Briket/Arang/Kayu,"2,177"
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,Tidak memasak di rumah,71
SUMATERA BARAT,KOTA PARIAMAN,1377,Listrik/Gas,"1,590"
SUMATERA BARAT,KOTA PARIAMAN,1377,Minyak tanah,354
SUMATERA BARAT,KOTA PARIAMAN,1377,Briket/Arang/Kayu,"2,450"
SUMATERA BARAT,KOTA PARIAMAN,1377,Tidak memasak di rumah,120
SUMATERA BARAT,TOTAL,"71,295",Listrik/Gas,"17,577"
SUMATERA BARAT,TOTAL,"71,295",Minyak tanah,"245,240"
SUMATERA BARAT,TOTAL,"71,295",Briket/Arang/Kayu,"2,027"
RIAU,KUANTAN SINGINGI,1401,Listrik/Gas,"6,091"
RIAU,KUANTAN SINGINGI,1401,Minyak tanah,"1,594"
RIAU,KUANTAN SINGINGI,1401,Briket/Arang/Kayu,"11,880"
RIAU,KUANTAN SINGINGI,1401,Tidak memasak di rumah,105
RIAU,INDRAGIRI HULU,1402,Listrik/Gas,"18,921"
RIAU,INDRAGIRI HULU,1402,Minyak tanah,"2,087"
RIAU,INDRAGIRI HULU,1402,Briket/Arang/Kayu,"12,807"
RIAU,INDRAGIRI HULU,1402,Tidak memasak di rumah,49
RIAU,INDRAGIRI HILIR,1403,Listrik/Gas,"9,725"
RIAU,INDRAGIRI HILIR,1403,Minyak tanah,785
RIAU,INDRAGIRI HILIR,1403,Briket/Arang/Kayu,"29,762"
RIAU,INDRAGIRI HILIR,1403,Tidak memasak di rumah,62
RIAU,PELALAWAN,1404,Listrik/Gas,"13,138"
RIAU,PELALAWAN,1404,Minyak tanah,307
RIAU,PELALAWAN,1404,Briket/Arang/Kayu,"6,658"
RIAU,PELALAWAN,1404,Tidak memasak di rumah,44
RIAU,S I A K,1405,Listrik/Gas,"16,860"
RIAU,S I A K,1405,Minyak tanah,562
RIAU,S I A K,1405,Briket/Arang/Kayu,"4,561"
RIAU,S I A K,1405,Tidak memasak di rumah,67
RIAU,KAMPAR,1406,Listrik/Gas,"36,031"
RIAU,KAMPAR,1406,Minyak tanah,"3,460"
RIAU,KAMPAR,1406,Briket/Arang/Kayu,"17,765"
RIAU,KAMPAR,1406,Tidak memasak di rumah,214
RIAU,ROKAN HULU,1407,Listrik/Gas,"13,764"
RIAU,ROKAN HULU,1407,Minyak tanah,"1,609"
RIAU,ROKAN HULU,1407,Briket/Arang/Kayu,"14,035"
RIAU,ROKAN HULU,1407,Tidak memasak di rumah,108
RIAU,BENGKALIS,1408,Listrik/Gas,"18,445"
RIAU,BENGKALIS,1408,Minyak tanah,796
RIAU,BENGKALIS,1408,Briket/Arang/Kayu,"9,705"
RIAU,BENGKALIS,1408,Tidak memasak di rumah,97
RIAU,ROKAN HILIR,1409,Listrik/Gas,"36,592"
RIAU,ROKAN HILIR,1409,Minyak tanah,"1,623"
RIAU,ROKAN HILIR,1409,Briket/Arang/Kayu,"12,157"
RIAU,ROKAN HILIR,1409,Tidak memasak di rumah,123
RIAU,KEPULAUAN MERANTI,1410,Listrik/Gas,"9,879"
RIAU,KEPULAUAN MERANTI,1410,Minyak tanah,344
RIAU,KEPULAUAN MERANTI,1410,Briket/Arang/Kayu,"13,358"
RIAU,KEPULAUAN MERANTI,1410,Tidak memasak di rumah,39
RIAU,KOTA PEKANBARU,1471,Listrik/Gas,"19,343"
RIAU,KOTA PEKANBARU,1471,Minyak tanah,"4,658"
RIAU,KOTA PEKANBARU,1471,Briket/Arang/Kayu,"2,755"
