Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,SD/SDLB/Paket A,M. Ibtidaiyah,SMP/SMPLB/Paket B,M. Tsanawiyah,SMA/SMK/SMALB/Paket C,M. Aliyah,Perguruan Tinggi
SUMATERA BARAT,SOLOK SELATAN,1310,P,"3,500",59,"1,263",411,"1,200",90,204
SUMATERA BARAT,SOLOK SELATAN,1310,L,"3,776",57,"1,232",401,919,66,111
SUMATERA BARAT,DHARMASRAYA,1311,P,"2,340",4,808,109,250,6,20
SUMATERA BARAT,DHARMASRAYA,1311,L,"2,506",6,760,75,180,3,9
SUMATERA BARAT,PASAMAN BARAT,1312,P,"12,294",175,"4,302","1,152","3,192",436,404
SUMATERA BARAT,PASAMAN BARAT,1312,L,"13,288",182,"4,223",949,"2,491",251,207
SUMATERA BARAT,KOTA PADANG,1371,P,"13,465",34,"7,000",278,"5,030",69,"1,668"
SUMATERA BARAT,KOTA PADANG,1371,L,"15,315",40,"7,366",213,"4,533",38,932
SUMATERA BARAT,KOTA SOLOK,1372,P,919,1,398,9,340,2,48
SUMATERA BARAT,KOTA SOLOK,1372,L,981,3,432,9,268,4,17
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,P,473,1,175,26,99,18,5
SUMATERA BARAT,KOTA SAWAH LUNTO,1373,L,555,2,173,15,67,8,4
SUMATERA BARAT,KOTA PADANG PANJANG,1374,P,639,0,304,19,152,6,24
SUMATERA BARAT,KOTA PADANG PANJANG,1374,L,767,0,305,12,131,4,17
SUMATERA BARAT,KOTA BUKITTINGGI,1375,P,"1,355",0,532,18,434,10,141
SUMATERA BARAT,KOTA BUKITTINGGI,1375,L,"1,458",2,635,17,366,2,73
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,P,"2,269",16,950,94,652,26,120
SUMATERA BARAT,KOTA PAYAKUMBUH,1376,L,"2,475",19,938,70,554,9,68
SUMATERA BARAT,KOTA PARIAMAN,1377,P,"1,578",4,767,102,651,16,172
SUMATERA BARAT,KOTA PARIAMAN,1377,L,"1,857",7,829,94,574,8,73
RIAU,KUANTAN SINGINGI,1401,P,"4,613",66,"1,869",229,"1,253",66,221
RIAU,KUANTAN SINGINGI,1401,L,"5,016",78,"1,964",238,"1,217",51,233
RIAU,INDRAGIRI HULU,1402,P,"9,129",73,"3,540",287,"1,933",117,480
RIAU,INDRAGIRI HULU,1402,L,"10,048",77,"3,396",267,"1,916",60,324
RIAU,INDRAGIRI HILIR,1403,P,"10,368",935,"3,186","1,079","1,489",410,117
RIAU,INDRAGIRI HILIR,1403,L,"11,174",898,"3,128","1,086","1,379",346,80
RIAU,PELALAWAN,1404,P,"5,683",16,"2,211",140,"1,154",15,125
RIAU,PELALAWAN,1404,L,"6,294",16,"2,324",118,"1,184",12,113
RIAU,S I A K,1405,P,"6,333",20,"2,711",91,"1,628",29,180
RIAU,S I A K,1405,L,"6,880",18,"2,772",115,"1,633",33,144
RIAU,KAMPAR,1406,P,"16,862",147,"6,521",824,"4,190",371,991
RIAU,KAMPAR,1406,L,"18,700",148,"6,867",831,"4,065",341,816
RIAU,ROKAN HULU,1407,P,"7,686",24,"2,763",336,"1,643",64,283
RIAU,ROKAN HULU,1407,L,"8,305",40,"2,630",276,"1,568",47,229
RIAU,BENGKALIS,1408,P,"7,641",41,"3,146",292,"1,845",152,268
RIAU,BENGKALIS,1408,L,"8,275",33,"3,335",263,"1,772",148,190
RIAU,ROKAN HILIR,1409,P,"15,502",288,"6,058",824,"3,983",191,244
RIAU,ROKAN HILIR,1409,L,"16,872",324,"6,467",862,"3,765",186,181
RIAU,KEPULAUAN MERANTI,1410,P,"5,903",75,"2,332",564,"1,730",243,294
RIAU,KEPULAUAN MERANTI,1410,L,"6,416",88,"2,352",640,"1,701",174,307
RIAU,KOTA PEKANBARU,1471,P,"9,646",21,"4,479",53,"2,308",7,361
RIAU,KOTA PEKANBARU,1471,L,"10,722",29,"4,632",51,"2,127",7,251
RIAU,KOTA DUMAI,1473,P,"5,099",2,"2,127",73,"1,487",16,178
RIAU,KOTA DUMAI,1473,L,"5,612",5,"2,375",76,"1,453",14,87
JAMBI,KERINCI,1501,P,"4,191",134,"2,014",321,"1,497",164,599
JAMBI,KERINCI,1501,L,"4,590",187,"2,143",355,"1,590",165,637
JAMBI,MERANGIN,1502,P,"5,192",48,"1,692",398,849,155,177
JAMBI,MERANGIN,1502,L,"5,747",41,"1,824",325,925,105,127
JAMBI,SAROLANGUN,1503,P,"5,726",68,"1,939",370,985,130,113
JAMBI,SAROLANGUN,1503,L,"6,374",76,"2,086",399,"1,033",123,103
JAMBI,BATANG HARI,1504,P,"5,198",32,"1,769",319,"1,077",184,278
JAMBI,BATANG HARI,1504,L,"5,769",30,"1,833",344,957,133,207
JAMBI,MUARO JAMBI,1505,P,"4,994",63,"1,928",322,976,103,73
